,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
8529,77540002,carrefour,4867700.0,296900.0,77540,56 rue de vilpré,Rozay-en-Brie,R
8532,77570001,carrefour,4814461.0,269420.0,77570,Rue de Nisceville,CHâTEAU-LANDON,R
6254,59554003,carrefour,5017500.0,320000.0,59554,8 TER ROUTE DE BAPAUME,RAILLENCOURT-SAINTE-OLLE,R
3211,31840001,carrefour,4368513.0,132722.0,31840, Route de Seilh,AUSSONNE,R
6655,62460002,carrefour,5046900.0,250300.0,62460,16 RUE PIERRE BACHELET,DIVION,R
8293,76400001,carrefour,4974874.0,40324.0,76400,3 Route de Ganzeville,FéCAMP,R
3632,34560002,carrefour,4348327.39,367137.91,34560,AVENUE DE SETE,POUSSAN,R
6095,59141002,carrefour,5022800.0,332000.0,59141,Rue Clemenceau,Iwuy,R
6090,59134001,carrefour,5061300.0,288300.0,59134,20 rue du haut quesnoy,le maisnil,R
6089,59133002,carrefour,5052100.0,302100.0,59133,47 rue Jean Baptiste Lebas,Phalempin,R
6132,59190009,carrefour,5075828.6445109,260238.15969871,59190,70 Route d'Hazebrouck,Caëstre,R
6078,59122001,carrefour,5098169.09164,258515.615645,59122,17 bis place du Général de Gaulle,HONDSCHOOTE,R
6146,59211002,carrefour,5059400.0,296400.0,59211,2 rue du coeur joyeux,SANTES,R
6147,59215001,carrefour,5033600.0,330300.0,59215,RUE EMILE ZOLA,Abscon,R
6151,59222001,carrefour,5015100.0,362300.0,59222,RUE DE LANDRECIES,BOUSIES,R
5979,57940001,carrefour,4932021.0046711,627828.54114496,57940,de l'Arc Mosellan,Metzervisse,R
6157,59233003,carrefour,5031295.1961697,349098.36137695,59233,121 rue Henri BANTEGNIES,Maing,R
1621,17580002,carrefour,4617771.0860263,-137215.89695779,17580,6083 route de Sainte Marie,Le-Bois-Plage-En-Ré,R
6025,58320001,carrefour,4707736.0,309879.0,58320,ROUTE DE PARIS,Pougues-les-Eaux,R
6024,58310001,carrefour,4752885.0,307024.0,58310,Route de Cosne,Saint-Amand-en-Puisaye,R
6165,59246003,carrefour,5048000.0,310300.0,59246,rue saint jean,Mons-en-Pévèle,R
1617,17530003,carrefour,4574200.0,-112100.0,17530,17 avenue de la presqu'ile,ARVERT,R
9736,88560003,carrefour,4785607.74,682048.37,88560,1 Rue de Lorraine,Saint Maurice sur Moselle,R
1614,17520001,carrefour,4552800.0,-30400.0,17520,ZA du Tonneau,Archiac,R
6178,59279004,carrefour,5098200.0,258400.0,59122,17 PLACE DU GENERAL DE GAULLE,HONDSCHOOTE,R
6196,59310003,carrefour,5045900.0,328900.0,59310,ANGLE RUE DU SAULZOIR ET RUE ALBERT RICQUIER,BEUVRY-LA-FORêT,R
1704,18570002,carrefour,4706300.0,232400.0,18570,Rue des Acacias,La Chapelle-Saint-Ursin,R
6410,60590002,carrefour,4935600.0,177000.0,60590,ZAC LA REMIS DU FRIER,Sérifontaine,R
5628,54480001,carrefour,4857900.0,694300.0,54480,1.RUE DU PARTERRE,CIREY-SUR-VEZOUZE,R
5627,54470002,carrefour,4894700.0,587600.0,54470,ZA de la Louviére,THIAUCOURT,R
5310,50420002,carrefour,4897000.0,-105900.0,50420,Chemin de la Minoterie,Tessy-sur-Vire,R
9565,86580002,carrefour,4657109.72,27208.73,86580,13 place de la croix cadet,Vouneuil-sous-Biard,R
600,7220003,carrefour,4447589.64,469209.58,7220,QUARTIER PLANZOLLES RN86,Viviers,R
5405,51230001,carrefour,4875900.0,398600.0,51230,83 CHEMIN DES LOGES,FèRE-CHAMPENOISE,R
6102,59151002,carrefour,5028300.0,310200.0,59151,663 RUE SALVADOR ALLENDEE,ARLEUX,R
1640,17770002,carrefour,4577508.1037514,-42216.137321515,17770,20 BD GOULEBENEZE,Burie,R
6291,59730005,carrefour,4780503.6148463,-428059.82128066,29730,1 rue du moulin,Guilvinec,R
5841,56890001,carrefour,4769800.0,-280400.0,56890,6 RUE DU VERGER,PLESCOP,R
5836,56850004,carrefour,4781518.747966,-334291.54336,56850,2 Avenue Simone Veil,Caudan,R
5814,56650001,carrefour,4782600.0,-325200.0,56650,RUE EMILE ZOLA,INZINZAC-LOCHRIST,R
9660,87800004,carrefour,4570748.7767899,124053.18507886,87800,"""Le Vieux Saint Maurice""",SAINT MAURICE LES BROUSSES,R
5805,56550003,carrefour,4771000.0,-310600.0,56550,ROUTE DE L'OCEAN,Locoal-Mendon,R
5771,56370005,carrefour,4752600.0,-264600.0,56370,8 rue de la Mairie - le Bourg,Le Tour-du-Parc,R
9659,87800003,carrefour,4570744.595865,124139.70550631,87800,"""LE VIEUX ST MAURICE""",ST MAURICE LES BROUSSES,R
1758,19350001,carrefour,4532000.0,132700.0,19350,laschamps,Chabrignac,R
5936,57420005,carrefour,4901200.0,620400.0,57420,1 RUE DU FORT,VERNY,R
261,3350002,carrefour,4661658.854,282206.505,3350,Avenue Jean Jaurès,Cérilly,R
9651,87570002,carrefour,4589885.0,131178.0,87570,87 rue jean monet,RILHAC RANCON,R
1768,19600001,carrefour,4519500.0,154200.0,19270,Les Combettes,Ussac,R
1550,17138009,carrefour,4620600.0,-109400.0,17138,43 RUE DES SPORTS,Saint-Xandre,R
1549,17138008,carrefour,4620600.0,-109500.0,17138,43 rue des sports,Saint-Xandre,R
5677,55160015,carrefour,4910000.0,562400.0,55160,15 rue de VERDUN,FRESNES EN WOEVRE,R
6393,60410003,carrefour,4930913.0,273049.0,60410,Rue Juliette Adam,Verberie,R
6397,60490001,carrefour,4955100.0,275200.0,60490,69 Rue du Moulin,LA NEUVILLE-SUR-RESSONS,R
